model_name,accuracy,precision,recall,f1_score,roc_auc,training_time_seconds
Logistic Regression Baseline,0.7734997680597141,0.7225587842694322,0.725015454358129,0.7237850347132939,0.8577488764375283,98.09947514533997
Random Forest Tuned,0.7447813435668199,0.8426481620405101,0.4629095404904183,0.597552866072616,0.8554538963481669,240.30123376846313
Random Forest Default,0.7230211276514992,0.8730385164051355,0.37832268699773336,0.527889591719379,0.8248531970216358,13.795248985290527
Gradient Boosting Tuned,0.7196052798043268,0.8962924552761213,0.35617144034617765,0.5097692250976923,0.821099433062898,181.73401641845703
Gradient Boosting Default,0.7142495677476489,0.9110549943883277,0.3345353389655883,0.48937452901281087,0.799457016950887,7.908751964569092
